,reviewerID,asin,overall
0,A24FQNZ2ZCP9UH,B004DK0UDA,5.0
1,A9MYCYZT8EMMX,B00AWCNF9O,1.0
2,A1T5GAE8KIMVTF,B001V3TVEQ,5.0
3,A12KFVKK4UXYBH,B000U0CA0I,5.0
4,A9MYCYZT8EMMX,B001B7MAU4,5.0
5,AI78BR0UXFPW1,B001MA0QY2,3.0
6,ARC8GAY34APCD,B0018V1DWE,5.0
7,A5O5K8QDEF1ET,B00022WA9K,3.0
8,A2P739KOM4U5JB,B003U4LI7W,2.0
9,A1CACITO13L1L8,B001BALMCS,5.0
10,ADW9M86DQAPXT,B002WTC37A,5.0
11,A1PI8VBCXXSGC7,B00DCNBST4,5.0
12,ARC8GAY34APCD,B001CPM03C,5.0
13,A9MYCYZT8EMMX,B003UA5HCS,5.0
14,A17V9XL4CWTQ6G,B007TAQZ8A,5.0
15,A2A6TPBB4NGFRM,B005HR7Q6M,5.0
16,A10EO39J34O6JN,B00CWDBMSM,5.0
17,A21YOSCGKP2DU4,B003V21WO2,5.0
18,A1AVF90QEZHCYV,B00C2SJDRY,5.0
19,A34KW0AR0MX4JR,B004BEBBXG,4.0
21,A67QUKOTTLYHK,B000UPRSKA,5.0
22,A289MTI85RQMZ9,B006OMHTXO,3.0
23,A1QXE7OX7MSL2H,B007SA3CD2,5.0
24,A3CG93783LP0FO,B00DD94A4W,4.0
25,A1Q3W2FX8LKH19,B00188IFHS,5.0
26,A3EPHBMU07LZ50,B0002Z0R9C,5.0
27,AV2P8H1G5VDSW,B005V1TL12,5.0
28,AP4NJCYX17ENX,B00889WQIO,3.0
29,A1TE3PHV7ILN8R,B000VEN3RW,3.0
30,A3MEMX0XF00TBD,B003O5NGJK,5.0
31,A2OGBPEJ9JW5XJ,B0094GJ6IS,5.0
32,A9MYCYZT8EMMX,B000FZDPWU,5.0
33,A2QE9FT13SXK92,B000Q97ZS0,5.0
34,ADW9M86DQAPXT,B000A3ZMLO,3.0
35,ARC8GAY34APCD,B0002YLY9K,5.0
37,A24WKOS7B5SLVA,B006YFCHSS,4.0
38,A24FQNZ2ZCP9UH,B002MZ8BK2,5.0
39,AXKIWO2H5YOPA,B000LGNQPY,5.0
40,AI78BR0UXFPW1,B0034E4YEC,5.0
41,A9MYCYZT8EMMX,B002PA2LNC,5.0
42,A9MYCYZT8EMMX,B0002Z8HAI,5.0
43,A26SHNWLD7XPWK,B0037ZA4GU,5.0
44,A289MTI85RQMZ9,B00AZBSPQA,4.0
45,AH0510EPV6T4P,B004Z40048,1.0
46,A2A6TPBB4NGFRM,B005OZFV50,5.0
47,A2FSCKEKEB5TLO,B001BALMCS,3.0
48,AKJWLLBI3U5MR,B004BCXAM8,5.0
49,A2A6TPBB4NGFRM,B002ULA2VE,5.0
50,A1JAPP1CXRG57A,B008EKY8VK,4.0
51,A24FQNZ2ZCP9UH,B000PQDKU6,4.0
52,A2BPKPNQIAYZCS,B000GCVZSI,3.0
53,A2WFZWRYWLC20S,B00CM7YTO2,3.0
54,A227L2DVAG3SE9,B0045H1JXQ,5.0
55,A2O72QQSAAXI8T,B005FVSH0O,2.0
56,A2XU18GW8RXVJL,B00BBD508C,5.0
57,A3HI2P0YWLP5X0,B001EO5X12,3.0
58,AI78BR0UXFPW1,B007ML0OY2,1.0
59,A2V5R832QCSOMX,B007P296VA,4.0
60,A1QZ9EE6391HEP,B00141XJJS,5.0
61,AXKIWO2H5YOPA,B000C1Z1H4,5.0
62,ACYMT1PL5FO9C,B00BB8ZHIU,5.0
63,A2Y33L0JWOMR4E,B002JLQWNM,5.0
64,A9MYCYZT8EMMX,B008PQ5YC0,5.0
65,A1TE3PHV7ILN8R,B005GHP5UC,5.0
66,AID96A35CQO18,B00DCNBST4,4.0
67,AI78BR0UXFPW1,B001G7OCSM,5.0
68,A2OCDK0BOW6UCY,B006WQBZ96,3.0
69,A24FQNZ2ZCP9UH,B009CA7T5I,4.0
70,A2Y33L0JWOMR4E,B000PXYC6U,4.0
71,A1YXIUYWPLQG3P,B004CQ710U,3.0
72,A9MYCYZT8EMMX,B003H8E7SS,5.0
73,A1QZ9EE6391HEP,B002XHACTM,4.0
74,A1K92F2735WMP6,B000AO2NXS,5.0
75,A1VRPTS2C1ATNJ,B002CML1XE,3.0
76,A9MYCYZT8EMMX,B004DIUWY4,5.0
77,A1JL7UUV6NV1PQ,B002JDUMFO,5.0
78,A2Y33L0JWOMR4E,B0016ZNWMG,5.0
79,A1JL7UUV6NV1PQ,B0012J30KU,5.0
80,A2UVFEZ7UDBRAA,B0001ZYL3Q,3.0
81,A3N9TOPHBENB9I,B002PBHQP4,2.0
82,A5O5K8QDEF1ET,B004BCT8JW,5.0
83,A9MYCYZT8EMMX,B0002Z81O0,5.0
84,AI78BR0UXFPW1,B001MP7HYY,2.0
85,A9MYCYZT8EMMX,B003FKUW3M,4.0
86,A1CSG6ECE31PR9,B004T3K54U,5.0
87,A24FQNZ2ZCP9UH,B002URH6K8,5.0
88,A9MYCYZT8EMMX,B002XQ1YT0,5.0
89,A9MYCYZT8EMMX,B00BAY4DY4,5.0
90,A3RNLL3CBOZ3WL,B000OD5V8E,5.0
91,AS65L3A9I2ES6,B000OZF8W6,2.0
92,A1T5GAE8KIMVTF,B003FKUW3M,5.0
93,A1D4SEIIPD2J41,B0017SWIU4,5.0
94,A1JL7UUV6NV1PQ,B007M81A8O,3.0
95,A216IDOSTSO8OO,B006U420FS,5.0
96,AV2P8H1G5VDSW,B005OZS5TO,3.0
97,A2Y33L0JWOMR4E,B000TKH6FI,5.0
98,AI78BR0UXFPW1,B001C1LBG8,1.0
99,A3DAMIW77Z4NRT,B00AM8923G,2.0
100,A3MR9HC6MQA1MR,B007M81B4M,5.0
102,A67QUKOTTLYHK,B004TSFE28,4.0
103,A31SZCP07Y5E0M,B002QASVFS,5.0
104,A5O5K8QDEF1ET,B000TNOUA4,5.0
105,A168R2UBJO6Q7K,B001UG6JZ8,5.0
107,ARC8GAY34APCD,B006OHM6FK,4.0
108,A3G9JMSRMNV8VF,B001AO0WCG,5.0
109,A9MYCYZT8EMMX,B001J9LLX6,5.0
110,A216IDOSTSO8OO,B003AKHQG8,5.0
111,A3L5VIXGTCW2X9,B009PZGYJM,3.0
112,ARC8GAY34APCD,B007DGUREI,5.0
113,A2Q3BW3177V542,B000RRKCVS,5.0
115,A9MYCYZT8EMMX,B000142C1A,5.0
116,AH0510EPV6T4P,B000GHGGKK,5.0
117,A5O5K8QDEF1ET,B000VBDWQC,3.0
118,A12P2DIQFEDVTM,B005HO0A1I,5.0
119,A51EAGUKGTONU,B005BG02BU,5.0
120,A1QZ9EE6391HEP,B000142FVW,1.0
121,A2IGIN41AGTLY7,B00BE2OKXQ,5.0
122,AMA9XZWTSIRMJ,B000142FVW,5.0
123,A3RDL363RWEXP2,B00ANFYEQS,4.0
124,A2UFNV07NMS6SO,B0074FSFXI,3.0
125,A2UFNV07NMS6SO,B0086LC0TO,2.0
126,A1T5GAE8KIMVTF,B0062GZJOS,5.0
127,A21YOSCGKP2DU4,B003V265QW,4.0
128,A19BULUOHYRDYQ,B000P3X8HY,5.0
129,AH0510EPV6T4P,B000VDUOFM,5.0
130,A9MYCYZT8EMMX,B002GENWU8,5.0
131,AI78BR0UXFPW1,B000ZMBSPE,1.0
132,A1FKGHZYT64TYG,B00CJ1YFZY,3.0
133,A26476GFC2MYSO,B003YDZON8,4.0
134,A216IDOSTSO8OO,B003V265QW,4.0
135,AI78BR0UXFPW1,B003X3DEI6,1.0
136,A1K92F2735WMP6,B000H3CPO4,5.0
137,A39YHD54RIZJTS,B00BB8ZHIU,3.0
138,AKJWLLBI3U5MR,B0039XT498,1.0
139,A19ACDIQPD3ERF,B0012JY4G4,1.0
140,A1DUCXNXF1IA9R,B0038TVH3Y,2.0
141,A1K92F2735WMP6,B004Y4HX58,3.0
142,A1QZ9EE6391HEP,B0030O3VRW,5.0
143,A2BPKPNQIAYZCS,B000V2OZ6M,5.0
144,A1CACITO13L1L8,B0092MCMM6,4.0
145,A2UFNV07NMS6SO,B001CE6T76,3.0
146,A1AVF90QEZHCYV,B000OQ5424,5.0
147,A9MYCYZT8EMMX,B000SI2T0S,5.0
148,A9MYCYZT8EMMX,B0057VH8QQ,5.0
149,A31SZCP07Y5E0M,B00067YSLO,4.0
150,A2A6TPBB4NGFRM,B0030HMQTS,1.0
151,AP4NJCYX17ENX,B0068Y6CA4,2.0
152,A1T5GAE8KIMVTF,B002HEW8C0,5.0
153,A2B3B9O5D38TL,B0068Y6CA4,1.0
154,AZFJDE00JTMPT,B0000Y3D4G,5.0
155,A22M3E5S78BYRI,B000VZDWB8,5.0
156,A1AVF90QEZHCYV,B000OQ6YTG,5.0
157,A37RIRXE3WECZ,B002MOBZSS,5.0
158,A1QZ9EE6391HEP,B00683MOWK,5.0
159,AKJWLLBI3U5MR,B004A7OVBI,5.0
160,ARC8GAY34APCD,B0046MMCFY,4.0
161,A1VRPTS2C1ATNJ,B003VV8C0A,5.0
162,A3RDL363RWEXP2,B00CJIOG0Q,3.0
163,A2GV4P4ZFAWG1D,B0059NA3MI,5.0
164,A9MYCYZT8EMMX,B001REJFSG,5.0
165,ALD5RQQ0QK8RK,B0067F998G,5.0
166,A216IDOSTSO8OO,B003LUFMFO,4.0
167,A9MYCYZT8EMMX,B000EGSD1S,5.0
168,AJ6B83I4YJHYW,B0000CC64W,5.0
169,A9MYCYZT8EMMX,B00BJ58020,5.0
170,A1TE3PHV7ILN8R,B000PLUZL8,5.0
171,A20SNZJ0WM1MIJ,B009JJA49U,5.0
172,A1TE3PHV7ILN8R,B0000632EN,5.0
173,A1QZ9EE6391HEP,B003ZS4WJY,5.0
174,A1CACITO13L1L8,B0002JKPA4,4.0
175,A1XGFW5016CGQI,B001ECHLBY,5.0
