"","asin","avg.rating","brand","categories","price","salesRank","title"
"1","7806397051",2.5,"COKA","[['Beauty', 'Makeup', 'Face', 'Concealers & Neutralizers']]",5.04,"{'Beauty': 10486}","WAWO 15 Color Professionl Makeup Eyeshadow Camouflage Facial Concealer Neutral Palette"
"2","9759091062",3.09,"Xtreme Brite","[['Beauty', 'Hair Care', 'Styling Products', 'Creams, Gels & Lotions']]",19.99,"{'Beauty': 52254}","Xtreme Brite Brightening Gel 1oz."
"3","9788072216",5,"Prada","[['Beauty', 'Fragrance', ""Women's"", 'Eau de Parfum']]",65.86,"{'Beauty': 78916}","Prada Candy By Prada Eau De Parfum Spray 1.7 Oz For Women"
"4","9790790961",4.6,"Versace","[['Beauty', 'Fragrance', ""Women's"", 'Eau de Toilette']]",52.33,"{'Beauty': 764}","Versace Bright Crystal Eau de Toilette Spray for Women, 3 Ounce"
"5","9790794231",4.5," ","[['Beauty', 'Fragrance', ""Women's"", 'Eau de Parfum']]",NA,"{'Beauty': 142503}","Stella McCartney Stella"
"6","B00004TMFE",4.29,"Avalon Organics","[['Beauty', 'Hair Care', 'Conditioners']]",9.49,"{'Health & Personal Care': 5413}","Avalon Biotin B-Complex Thickening Conditioner, 14 Ounce"
"7","B00004TUBL",4.09,"Classic","[['Beauty', 'Bath & Body', 'Bathing Accessories', 'Bath Trays']]",25.99,"{'Home &amp; Kitchen': 46691}","Better Living Classic Two Chamber Dispenser, White"
"8","B00004TUBV",4,"Better Living","[['Beauty', 'Bath & Body', 'Bathing Accessories', 'Bath Trays']]",39.95,"{'Home &amp; Kitchen': 27372}","Better Living The Ulti-Mate Dispenser"
"9","B00004U9UY",4.4,"Crabtree &amp; Evelyn","[['Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions']]",18.19,"{'Beauty': 2750}","Crabtree &amp; Evelyn 2792 Gardeners Hand Therapy (100ml, 3.4 oz)"
"10","B00004U9V2",4.6," ","[['Beauty', 'Skin Care', 'Hands & Nails', 'Hand Creams & Lotions']]",NA,"{'Beauty': 24399}","Crabtree &amp; Evelyn - Gardener's Ultra-Moisturising Hand Therapy Pump - 250g/8.8 OZ"
"11","B000050B6U",4.5,"Conair","[['Beauty', 'Hair Care', 'Styling Tools', 'Irons', 'Curling Irons']]",13.95,"{'Beauty': 3225}","Instant Heat Curling Iron, 1-Inch"
"12","B000052WY7",3.33,"Maybelline","[['Beauty', 'Makeup', 'Eyes', 'Eyeliner']]",1.89,"{'Beauty': 23677}","Maybelline New York Expert Wear Brow &amp; Eyeliner, 151 Velvet Black , .011 oz (310 mg)"
"13","B000052WYD",3.67,"Maybelline","[['Beauty', 'Makeup', 'Face', 'Concealers & Neutralizers']]",4.2,"{'Beauty': 54508}","Maybelline New York Cover Stick Concealer, Ivory, Light 2, 0.16 Ounce"
"14","B000052WYL",3.67,"Maybelline","[['Beauty', 'Makeup', 'Eyes', 'Mascara']]",1.26,"{'Beauty': 7137}","Maybelline New York Expert Eyes Moisturizing Eye Makeup Remover, 2.3 Fl. Oz."
"15","B000052WYN",3.8,"Maybelline","[['Beauty', 'Makeup', 'Eyes', 'Eyeliner']]",7.96,"{'Beauty': 2226}","Maybelline New York Ultra-Liner Liquid Liner, Waterproof, Black 135L-01 , .25 fl oz (7.3 ml)"
"16","B000052X9G",2,"Monticello","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",24.74,"{'Health & Personal Care': 13703}","Nullo Internal Deodorant, Coated Caplets, 135 Caplets"
"17","B000052XIA",5,"Vagisil","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",3.37,"{'Health & Personal Care': 21754}","Vagisil Anti-Itch Creme, Original Formula - 1 oz"
"18","B000052XW5",4,"Pretty Feet &amp; Hands","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",17.5,"{'Beauty': 2318}","Pretty Feet &amp; Hands Rough Skin Remover-Exfoliant, 3-Ounce Bottles (Pack of 3)"
"19","B000052XYQ",5,"Person &amp; Covey","[['Beauty', 'Hair Care', 'Shampoos']]",9.33,"{'Beauty': 27420}","DHS Clear Shampoo 8 Fl Oz"
"20","B000052XZP",4.75,"Neutrogena","[['Beauty', 'Hair Care', 'Shampoos']]",5.49,"{'Beauty': 4817}","Neutrogena T-Gel Shampoo, Stubborn Itch Control, 4.4 Ounce"
"21","B000052XZX",4,"Neutrogena","[['Beauty', 'Hair Care', 'Shampoos']]",8.5,"{'Beauty': 1844}","Neutrogena T/Sal Shampoo, Scalp Build-up Control, 4.5 fl oz"
"22","B000052Y25",5,"DHS","[['Beauty', 'Hair Care', 'Conditioners']]",10.12,"{'Beauty': 8864}","DHS Conditioning Rinse With Panthenol 8 fl oz"
"23","B000052Y5F",3,"KONSYL PHARMACEUTICALS","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Lotions']]",14.29,"{'Health & Personal Care': 11183}","Konsyl Pharmaceuticals Psyllium Fiber 15.9 oz"
"24","B000052Y6Z",2.5,"Lectric Shave","[['Beauty', 'Skin Care', 'Body', 'Moisturizers', 'Oils']]",3.23,"{'Health & Personal Care': 17330}","Williams Lectric Shave Electric Razor Pre-Shave, Original, 3 fl oz"
"25","B000052YJC",4.57,"Buf-Puf","[['Beauty', 'Bath & Body', 'Bathing Accessories', 'Loofahs, Sponges & Poufs']]",6.82," ","Buf-Puf Double-Sided Body Sponge - 1 ea"
"26","B000052YJD",4,"Buf-Puf","[['Beauty', 'Skin Care', 'Face', 'Cleansers']]",4.29," ","Buf-Puf Reusable Facial Sponge, Extra Gentle, - 1 ea"
